City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Ucluelet,CA,68.31,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
487,Goderich,CA,71.91,clear sky,43.7501,-81.7165,Harmony Inn
490,Fairmont,US,74.57,overcast clouds,39.4851,-80.1426,Clarion Inn
493,Sechura,PE,70.9,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
495,Taybad,IR,76.17,clear sky,34.74,60.7756,لی پوش jean center
502,Domoni,KM,71.89,clear sky,-12.2569,44.5319,Al Djadid
503,Nantucket,US,71.71,clear sky,41.2835,-70.0995,Jared Coffin House
509,Yamada,JP,70.92,overcast clouds,39.4667,141.95,Iroha-ya Inn
510,Nizwa,OM,76.55,clear sky,22.9333,57.5333,Orient Apartments
513,Itarema,BR,77.77,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
517,Kpandae,GH,73.85,light rain,8.4689,-0.0113,Catholic Guest House
519,Petawawa,CA,73.78,clear sky,45.9001,-77.3328,Petawawa River Inn & Suites
521,Kamra,PK,74.95,clear sky,33.7473,73.5111,Jangle Hotel
530,Adeje,ES,73.22,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
532,La Ronge,CA,70.05,broken clouds,55.1001,-105.2842,Northland Motor Hotel
533,Arrifes,PT,71.85,scattered clouds,37.7667,-25.7,Hotel Ponta Delgada
538,Negru Voda,RO,68.32,few clouds,43.8167,28.2,Clubul Pensionarilor
547,North Bend,US,73.92,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
548,Saint-Paul,RE,70.36,broken clouds,-21.0096,55.2707,Boucan Canot
552,Cuamba,MZ,69.46,broken clouds,-14.8031,36.5372,Hotel Vision
557,Asfi,MA,69.94,few clouds,32.2994,-9.2372,Hôtel Abda
560,Bardiyah,LY,76.62,clear sky,31.7561,25.0865,بورتو بردية
563,Takoradi,GH,74.5,clear sky,4.8845,-1.7554,Raybow International Hotel
567,Iksal,IL,74.91,clear sky,32.6816,35.3237,Mary's Well Nazareth Hotel
569,Mlonggo,ID,77.41,broken clouds,-6.5333,110.7,Asia Metal Art
574,Omboue,GA,74.5,overcast clouds,-1.5746,9.2618,Hotel Olako
590,Kudat,MY,73.33,few clouds,6.8837,116.8477,Dream Garden Hotel
592,Wiarton,CA,75.96,few clouds,44.7407,-81.1332,Waterview On The Bay
596,Saint-Pierre,RE,69.91,overcast clouds,-21.3393,55.4781,Alize Plage
602,Naze,JP,76.12,overcast clouds,28.3667,129.4833,Shishime Hotel
608,Zhanakorgan,KZ,68.36,few clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
613,Maumere,ID,76.66,broken clouds,-8.6199,122.2111,Sylvia Hotel
615,Porto Santo,PT,71.98,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
621,Miyazu,JP,72.59,overcast clouds,35.5333,135.1833,Seikiro
634,Porcia,IT,73.18,broken clouds,45.96,12.6072,Best Western
638,Saint-Leu,RE,69.31,broken clouds,-21.15,55.2833,La Caz Oceane
642,Ratnagiri,IN,77.4,light rain,16.9833,73.3,Hotel Landmark
653,Rieti,IT,73.67,clear sky,42.4072,12.8592,Hotel Miramonti
654,Suleja,NG,72.59,overcast clouds,9.1758,7.1808,Capy Motel
655,Saint-Joseph,RE,68.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
657,Conchas,BR,74.73,overcast clouds,-23.0153,-48.0106,Pousada Villa Harmonia
659,Bonthe,SL,76.62,light rain,7.5264,-12.505,Bonthe Holiday Village
660,Pitimbu,BR,73.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
661,Devarkonda,IN,75.79,overcast clouds,16.7,78.9333,సంతోష్ టిఫిన్ సెంటర్
662,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
663,La Ermita,MX,74.93,broken clouds,20.4139,-101.9936,AUTO-HOTEL BERVELY HILLS
665,Playas,EC,70.68,overcast clouds,-2.6333,-80.3833,Hostal Promenade
669,Broome,US,69.85,overcast clouds,42.2506,-75.833,Chenango Valley State Park
670,Roma,US,72.95,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
678,Tamale,GH,74.37,broken clouds,9.4008,-0.8393,Tap Hotel
682,Grand Gaube,MU,70.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
683,Westport,US,72.95,overcast clouds,41.1415,-73.3579,The Westport Inn
686,Gat,IL,77.81,clear sky,31.61,34.7642,OlusHome
687,Xuanzhou,CN,69.85,overcast clouds,30.9525,118.7553,Nanfang Hotel
689,Cortes,ES,75.25,overcast clouds,41.9395,-1.4396,Rincon de bu
691,Benguela,AO,71.56,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
693,Sondershausen,DE,69.01,broken clouds,51.3667,10.8667,Hotel Thüringer Hof
697,Matara,LK,76.68,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
705,Tarakan,ID,77.38,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
706,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
710,Iwaki,JP,75.78,overcast clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
713,Nirgua,VE,76.21,broken clouds,10.1553,-68.5663,"Complejo Agroturistico Lomas de Nirgua, c.a."
722,Kisangani,CD,73.2,overcast clouds,0.5167,25.2,Grand Ramela Hotel
724,Union,US,73.31,overcast clouds,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
