City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Biga,TR,40.2281,27.2422,66.06,56,0,14.36,clear sky
140,Spisska Bela,SK,49.1872,20.4595,53.22,93,94,4.18,overcast clouds
141,Shimoda,JP,34.6667,138.95,74.1,92,100,10.65,moderate rain
142,Gravdal,NO,68.1214,13.5031,48.92,73,78,8.59,broken clouds
143,Zabaykalsk,RU,49.6333,117.3167,49.59,87,67,5.55,broken clouds
144,Avera,US,33.194,-82.5271,87.85,45,100,5.97,overcast clouds
145,Mwense,ZM,-10.3845,28.698,73.2,30,0,9.04,clear sky
146,Calama,CL,-22.4667,-68.9333,64.89,7,0,27.63,clear sky
147,Shelburne,CA,44.0787,-80.2041,75.24,49,3,11.18,clear sky
148,Zhezkazgan,KZ,47.8043,67.7144,55.31,33,80,2.08,broken clouds
149,Nanortalik,GL,60.1432,-45.2371,43.93,92,26,4.09,scattered clouds
150,Vestmannaeyjar,IS,63.4427,-20.2734,53.56,88,100,7.96,overcast clouds
151,Wenatchee,US,47.4235,-120.3103,89.26,18,80,7.0,broken clouds
152,Hoquiam,US,46.9809,-123.8893,80.46,61,0,12.66,clear sky
153,Halifax,CA,44.6453,-63.5724,69.69,69,4,5.01,clear sky
154,Paita,PE,-5.0892,-81.1144,65.03,77,23,19.1,few clouds
155,Port Hedland,AU,-20.3167,118.5667,57.25,82,5,8.05,clear sky
156,Aykhal,RU,66.0,111.5,31.64,92,22,8.48,few clouds
157,Irara,BR,-12.05,-38.7667,66.16,90,45,6.04,scattered clouds
158,Biak,ID,-0.9131,122.8766,74.32,87,87,2.62,overcast clouds
159,Flinders,AU,-34.5833,150.8552,62.38,78,98,5.99,overcast clouds
160,Plettenberg Bay,ZA,-34.0527,23.3716,55.8,59,0,2.71,clear sky
161,Marmora,IT,44.4583,7.094,54.07,88,87,6.49,overcast clouds
162,Ganzhou,CN,28.8184,115.4327,77.76,54,99,4.05,overcast clouds
163,Berlevag,NO,70.8578,29.0864,48.2,81,100,13.8,light intensity drizzle
164,Rio Cuarto,AR,-33.1307,-64.3499,78.57,11,0,25.32,smoke
165,Longyearbyen,SJ,78.2186,15.6401,40.84,93,75,3.44,broken clouds
166,Constitucion,CL,-35.3333,-72.4167,48.45,82,92,5.35,overcast clouds
167,Upernavik,GL,72.7868,-56.1549,37.83,81,98,5.08,overcast clouds
168,Dwarka,IN,22.2394,68.9678,81.09,76,1,13.27,clear sky
169,Belmonte,BR,-15.8631,-38.8828,70.54,81,96,12.5,overcast clouds
170,Pahrump,US,36.2083,-115.9839,107.44,17,0,5.99,clear sky
171,Andapa,MG,-14.65,49.65,57.02,99,30,3.22,scattered clouds
172,Cairns,AU,-16.9167,145.7667,74.1,80,74,8.05,broken clouds
173,Bogorodskoye,RU,56.55,37.8833,39.96,98,88,5.01,overcast clouds
174,Cururupu,BR,-1.8283,-44.8683,76.01,88,93,4.47,overcast clouds
175,Zhoucheng,CN,35.9122,116.3117,64.26,66,88,4.18,overcast clouds
176,Mabai,CN,23.0128,104.4508,61.27,86,98,3.65,overcast clouds
177,Neka,IR,36.6508,53.299,74.95,91,100,6.62,moderate rain
178,Saldanha,ZA,-33.0117,17.9442,54.77,89,0,16.49,clear sky
179,Guerrero Negro,MX,27.9769,-114.0611,83.97,60,89,24.83,overcast clouds
180,Griffith,US,41.5284,-87.4237,81.25,60,0,4.61,clear sky
181,Pacific Grove,US,36.6177,-121.9166,92.88,67,0,5.75,clear sky
182,Lasa,IT,46.6166,10.7002,60.37,96,95,4.54,light rain
183,Tanout,NE,14.9709,8.8879,78.53,68,99,10.07,overcast clouds
184,Manono,CD,-7.3,27.4167,78.62,23,5,2.44,clear sky
185,Tura,IN,25.5198,90.2201,75.61,88,100,3.27,overcast clouds
186,Otane,NZ,-39.8833,176.6333,53.01,77,100,2.04,overcast clouds
187,Independence,US,39.0911,-94.4155,86.86,47,0,9.22,clear sky
188,Souillac,MU,-20.5167,57.5167,70.18,78,75,6.91,broken clouds
189,Poum,NC,-20.2333,164.0167,71.67,78,60,9.06,broken clouds
190,Port Perry,CA,44.1068,-78.9444,77.07,66,78,4.09,broken clouds
191,Saskylakh,RU,71.9167,114.0833,36.73,84,98,7.27,overcast clouds
192,Nokaneng,BW,-19.6667,22.2667,69.93,32,0,9.44,clear sky
193,Yairipok,IN,24.6667,94.0667,69.49,96,89,1.57,overcast clouds
194,Wanaka,NZ,-44.7,169.15,41.14,78,95,2.01,overcast clouds
195,Hithadhoo,MV,-0.6,73.0833,81.84,71,99,14.9,overcast clouds
196,Glen Cove,US,40.8623,-73.6337,73.76,73,99,1.01,overcast clouds
197,Oussouye,SN,12.485,-16.5469,79.83,89,68,6.89,broken clouds
198,Josefina,PH,8.2,123.5333,69.55,92,100,1.74,overcast clouds
199,Namibe,AO,-15.1961,12.1522,65.98,89,54,3.13,broken clouds
200,Ninohe,JP,40.2724,141.3061,65.84,79,35,0.67,scattered clouds
201,Xuanhua,CN,40.6103,115.0447,64.0,47,0,1.97,clear sky
202,Kotaparh,IN,19.15,82.35,72.97,89,97,3.71,overcast clouds
203,Idah,NG,7.1065,6.7342,72.81,98,72,3.65,light rain
204,Pepperell,US,42.6659,-71.5884,69.89,79,100,5.75,overcast clouds
205,Bara,NG,10.3744,10.7288,73.76,88,76,6.11,broken clouds
206,Cayenne,GF,4.9333,-52.3333,82.44,74,91,3.44,overcast clouds
207,Kutum,SD,14.2,24.6667,73.38,63,99,13.2,overcast clouds
208,Provideniya,RU,64.3833,-173.3,48.36,81,100,13.0,overcast clouds
209,Malpura,IN,26.2833,75.3833,83.03,60,57,5.21,broken clouds
210,Baiao,BR,-2.7906,-49.6717,81.45,64,43,3.85,scattered clouds
211,Talcahuano,CL,-36.7167,-73.1167,51.48,66,100,12.66,overcast clouds
212,Bambanglipuro,ID,-7.95,110.2833,74.79,92,97,5.73,overcast clouds
213,Jambi,ID,-1.6,103.6167,71.1,98,100,2.75,overcast clouds
214,Faanui,PF,-16.4833,-151.75,78.22,74,9,21.18,clear sky
215,Sao Felix Do Xingu,BR,-6.6447,-51.995,86.65,34,68,1.81,broken clouds
216,Sorland,NO,67.667,12.6934,49.86,71,51,10.04,broken clouds
217,Carnarvon,AU,-24.8667,113.6333,62.17,49,98,10.96,overcast clouds
218,Charters Towers,AU,-20.1,146.2667,66.16,79,17,12.53,few clouds
219,Pontes E Lacerda,BR,-15.2261,-59.3353,89.46,23,0,4.63,clear sky
220,Udachnyy,RU,66.4167,112.4,39.45,86,78,6.15,broken clouds
221,Tracy,US,37.7397,-121.4252,109.33,22,0,8.01,clear sky
222,Khandbari,NP,27.3747,87.2039,72.03,92,94,1.3,overcast clouds
223,Fort Nelson,CA,58.8053,-122.7002,54.99,71,75,5.75,broken clouds
224,Channel-Port Aux Basques,CA,47.5702,-59.1367,61.3,67,8,10.13,clear sky
225,Dicabisagan,PH,17.0818,122.4157,78.89,86,91,3.62,overcast clouds
226,Luderitz,NA,-26.6481,15.1594,58.28,77,0,9.46,clear sky
227,Lebu,CL,-37.6167,-73.65,47.68,61,43,11.36,scattered clouds
228,Banda Aceh,ID,5.5577,95.3222,78.94,78,100,13.02,overcast clouds
229,Kedrovyy,RU,56.1667,91.8167,66.61,63,100,12.26,overcast clouds
230,Isangel,VU,-19.55,169.2667,78.91,76,23,3.71,few clouds
231,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,75,6.91,broken clouds
232,Tautira,PF,-17.7333,-149.15,76.53,78,17,21.61,light rain
233,Skowhegan,US,44.7651,-69.7192,72.57,75,43,1.66,scattered clouds
234,Saint-Louis,SN,16.3333,-15.0,87.76,62,46,17.29,scattered clouds
235,Stornoway,GB,58.2093,-6.3865,55.92,94,26,0.0,fog
236,Nsanje,MW,-16.92,35.262,69.6,68,11,5.01,few clouds
237,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,78,20,13.8,few clouds
238,Nhulunbuy,AU,-12.2333,136.7667,74.01,94,40,0.0,scattered clouds
239,Hamilton,US,39.1834,-84.5333,80.62,54,40,11.5,scattered clouds
240,Ketchikan,US,55.3422,-131.6461,61.27,72,100,6.91,overcast clouds
241,Saint-Ambroise,CA,48.5501,-71.3324,71.58,67,22,3.04,few clouds
242,Egvekinot,RU,66.3167,-179.1667,37.29,72,5,1.41,clear sky
243,Alegrete,BR,-29.7831,-55.7919,62.82,71,0,7.25,clear sky
244,Parana,AR,-31.732,-60.5238,66.78,42,0,9.55,clear sky
245,Puerto Escondido,MX,15.85,-97.0667,83.23,61,75,5.75,broken clouds
